id,landcover,datetime
1,"[""Sea and ocean""]",2017-09-06T10:10:19+0000
2,"[""Discontinuous urban fabric"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2018-02-05T10:02:11+0000
3,"[""Sea and ocean""]",2017-12-01T11:24:31+0000
4,"[""Pastures"", ""Complex cultivation patterns"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2018-05-09T09:20:29+0000
5,"[""Non-irrigated arable land"", ""Pastures"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Natural grassland"", ""Sclerophyllous vegetation"", ""Transitional woodland/shrub""]",2017-10-02T11:21:12+0000
6,"[""Discontinuous urban fabric"", ""Industrial or commercial units"", ""Non-irrigated arable land"", ""Complex cultivation patterns""]",2018-05-10T09:40:31+0000
7,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2017-11-01T09:41:31+0000
8,"[""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2018-02-05T10:02:11+0000
9,"[""Non-irrigated arable land""]",2017-10-15T09:50:31+0000
10,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2018-05-22T09:30:29+0000
11,"[""Water bodies""]",2018-02-04T09:41:56+0000
12,"[""Olive groves"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest""]",2018-05-15T11:21:10+0000
13,"[""Sea and ocean""]",2018-05-11T10:00:29+0000
14,"[""Coniferous forest""]",2018-04-17T10:20:19+0000
15,"[""Complex cultivation patterns"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-08-25T09:30:29+0000
16,"[""Sea and ocean""]",2018-05-21T10:00:29+0000
17,"[""Non-irrigated arable land"", ""Mixed forest"", ""Water bodies""]",2017-07-01T09:30:31+0000
18,"[""Non-irrigated arable land"", ""Complex cultivation patterns"", ""Agro-forestry areas"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2018-05-15T11:21:10+0000
19,"[""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-08-25T09:30:29+0000
20,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-09-24T09:30:20+0000
21,"[""Pastures"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-09-30T09:50:19+0000
22,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2017-06-13T10:10:32+0000
23,"[""Discontinuous urban fabric"", ""Industrial or commercial units"", ""Road and rail networks and associated land"", ""Airports"", ""Construction sites"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2018-02-25T10:50:19+0000
24,"[""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",2017-08-01T09:50:29+0000
25,"[""Non-irrigated arable land"", ""Transitional woodland/shrub""]",2018-04-13T09:50:31+0000
26,"[""Discontinuous urban fabric"", ""Pastures""]",2018-02-25T11:43:51+0000
27,"[""Non-irrigated arable land""]",2017-12-06T09:43:49+0000
